"","","","","","","","","","","","","","","","","","","",NULL,NULL
Product Name,Product Description,"Condition (new, used, reconditioned)",Price,Sellbrite Category Name,Package Height (inches),Package Length (inches),Package Width (inches),Package Weight (pounds),Product Image URL 1,Product Image URL 2,Product Image URL 3,Product Image URL 4,Product Image URL 5,Product Image URL 6,Product Image URL 7,Product Image URL 8,Product Image URL 9,Product Image URL 10,Product Image URL 11,Product Image URL 12
name,description,condition,price,category_name,package_height,package_length,package_width,package_weight,product_image_1,product_image_2,product_image_3,product_image_4,product_image_5,product_image_6,product_image_7,product_image_8,product_image_9,product_image_10,product_image_11,product_image_12
Sterling Silver with 18Kt Gold/Blue Topaz,"Crafted by hand, this exquisite bracelet showcases the beauty of .925 sterling silver, intricately detailed with 18K gold accents. The design features a mesmerizing array of rectangular-cut blue topaz gemstones, each carefully set to capture and reflect light. The openwork silver filigree, adorned with delicate golden beading, creates a captivating contrast, enhancing the vibrant blue hues of the topaz. This bracelet is a testament to artisanal skill, offering a touch of elegance and sophistication to any ensemble. It is a unique piece, perfect for adding a luxurious and refined statement to a jewelry collection.",new,5000.0,Jewelry > Bracelets > Cuff Bracelets,2.5,2.89,1.75,0.271875,https://images.sellbrite.com/production/1446451/PP/6fb239d7-6e7e-56c8-8ac8-e96f9e01e92f.jpg,https://images.sellbrite.com/production/1446451/PP/4517d358-922d-588f-bdfb-e96f947be57b.jpg,https://images.sellbrite.com/production/1446451/PP/79812c1f-1638-5b6f-8021-24a84ec4dfea.jpg,https://images.sellbrite.com/production/1446451/PP/56d4b474-f58b-5a31-8105-204d868b9af1.jpg,"","","","","","","",""
Smash Beads Bracelet,"All hand made sterling silver .950. The Mosaic Bracelet is a stunning piece of jewelry that blends elegance and artistry. Crafted from high-quality silver, its intricate design features a mosaic pattern that adds depth and texture to the piece. The combination of polished and matte finishes creates a captivating contrast, ensuring that the bracelet catches the light from every angle. Perfect for making a bold statement, this bracelet adds a touch of sophistication to any outfit, whether for a formal occasion or an everyday chic look.",new,190.0,Jewelry > Bracelets > Cuff Bracelets,2.25,2.65,1.25,0.0725,https://images.sellbrite.com/production/1446451/D48/35dd23db-2932-5f16-bf04-611e22fb036d.jpg,https://images.sellbrite.com/production/1446451/D48/c5f501fd-5665-554f-9401-a9006b0d3219.jpg,https://images.sellbrite.com/production/1446451/D48/d7564d8a-6f07-59b0-8b98-967cf742483a.jpg,"","","","","","","","",""
Belt Bacco Link Bracelet,"Handcrafted from .925 sterling silver, this Cuban link bracelet features a robust, interlocking chain design and a secure buckle clasp. Each link is meticulously shaped and assembled by hand, resulting in a substantial and distinctive piece of jewelry. The bracelet's polished finish enhances the natural luster of the silver, making it a standout accessory for both casual and formal wear.",new,675.0,Jewelry > Bracelets > Cuff Bracelets,"",9.0,1.0,0.28125,https://images.sellbrite.com/production/1446451/q/dc534d8b-51d5-5d12-88c3-7a7012fc78d2.jpg,https://images.sellbrite.com/production/1446451/q/8750afa9-5fe9-5039-b8ad-66fff4be6a3b.jpg,"","","","","","","","","",""
Gold Cable Silver Bracelet,"Handcrafted from .925 sterling silver, this cable-style cuff bracelet features distinctive twisted detailing and contrasting 14Kt gold at the terminals. The open-end design ensures a comfortable fit, while the handmade craftsmanship adds an artisanal touch, making it a unique statement piece for any jewelry collection.",new,650.0,Jewelry > Bracelets > Cuff Bracelets,2.5,3.0,0.5,0.145,https://images.sellbrite.com/production/1446451/q1/f13c253c-04bd-5d7b-90af-8bbebf19761b.jpg,https://images.sellbrite.com/production/1446451/q1/214733d9-7114-5313-80db-3c40f41a5231.jpg,https://images.sellbrite.com/production/1446451/q1/8776a9ad-485c-54d6-86bc-ad2e3cb7c027.jpg,"","","","","","","","",""
Lady Skull Bracelet,"Handcrafted from .925 sterling silver, this articulated skeleton bracelet features a detailed skull and full-body design, making it a substantial and eye-catching piece. Its fully articulated joints allow for comfortable movement and a unique aesthetic. This bracelet is a distinctive accessory for those who appreciate gothic and biker-inspired jewelry.",new,475.0,Jewelry > Bracelets > Cuff Bracelets,2.5,6.5,1.5,0.1125,https://images.sellbrite.com/production/1446451/q2/566074ab-5b30-57a7-a9a2-8dc6dffec268.jpg,https://images.sellbrite.com/production/1446451/q2/9154bcd4-a299-52b4-9c67-be725b1724e4.jpg,https://images.sellbrite.com/production/1446451/q2/397b94b3-211c-5bcc-96a9-9b8ceae8477a.jpg,"","","","","","","","",""
Men Skull Bracelet,"Handcrafted from .925 sterling silver, this unique skeleton bracelet features an intricately designed articulated feline skeleton, offering a bold and edgy statement piece. The bracelet is meticulously handmade, showcasing detailed craftsmanship in each bone and joint, and is secured with a lobster clasp for ease of wear. Its reflective silver finish and anatomical design make it a striking addition to any jewelry collection.",new,610.0,Jewelry > Bracelets > Cuff Bracelets,3.0,6.5,1.5,0.14375,https://images.sellbrite.com/production/1446451/q3/fec69f20-f743-5be4-8b29-ec8cbd97f1e2.jpg,https://images.sellbrite.com/production/1446451/q3/358c13a1-5522-5ff2-bf52-828f15d9fd64.jpg,https://images.sellbrite.com/production/1446451/q3/f03a4882-9dac-5f96-93cf-5f21ed3ca168.jpg,"","","","","","","","",""
Amethyst Citrine Peridot Bracelet,"Handcrafted from .925 sterling silver, this bracelet showcases a modern design with an array of baguette-cut gemstones in vibrant colors. The unique hinged construction ensures a comfortable fit, while the secure clasp provides ease of wear. This piece is a testament to artisanal craftsmanship and contemporary style, perfect for adding a touch of color and sophistication to any ensemble.",new,1050.0,Jewelry > Bracelets > Cuff Bracelets,2.5,2.78,1.1,0.1675,https://images.sellbrite.com/production/1446451/q4/ea18bf9b-fdca-59d5-875a-ea7d1ac306c7.jpg,https://images.sellbrite.com/production/1446451/q4/7605b058-6401-5161-9210-52234dac6296.jpg,https://images.sellbrite.com/production/1446451/q4/f4ad2a0c-1d66-5943-b97d-560fcd436ddb.jpg,"","","","","","","","",""
